desired_array_size,P_ref,t_TES_hours,PPA,CF_hybrid,CF_pb,LCOE,Annual Revenue,PV to Grid MWh,CSP to Grid MWh
90000,140.0,6,75.03248365732536,0.5547701999059254,0.272745725576202,133.83189596974802,61.418254575983795,151483.33727093643,334495.3578466542
240000,65.0,4,139.24942610114073,0.43799786186791395,0.17707426779069232,223.75026306009568,80.66543944236129,282860.0389162724,100826.08808002021
250000,40.0,4,178.85353383440358,0.3273539320847751,0.1751641752056993,283.929480247062,76.44395147199555,225384.51751418598,61377.52699207703
115000,145.0,14,73.77772014169267,0.6919442787569973,0.32469132191857203,123.47084855785128,70.59496699152987,193720.27109015934,412422.9171009702
195000,110.0,6,99.15538650479606,0.5645389482576899,0.23192071778369971,175.33771539523264,81.60523819560824,271057.31501736335,223478.80365637306
60000,130.0,10,64.5534279325306,0.6171398991724895,0.3860358905678246,111.42827206822962,56.90570658710758,100996.87949646213,439617.6721786387
220000,35.0,16,122.78559353094761,0.4082831945441801,0.3078610034567546,197.0582350317914,66.19732461011837,263265.8947608608,94390.18365984096
155000,65.0,8,84.08134014265049,0.49107314980639843,0.32697086564424155,138.94753279489817,56.28302328308548,244002.86833257388,186177.21089783113
80000,80.0,14,61.9782592048425,0.552891545623193,0.49884397052625945,103.94572098890771,47.51386351073891,134743.1394211144,349589.8545448026
235000,65.0,4,137.14210015726073,0.43680752454453964,0.17814789631707093,220.27745879216897,79.20481956550039,281205.97933807655,101437.41216294018
170000,35.0,20,99.40527951553143,0.39775960018533785,0.361609581409962,157.72948872300097,51.68589606619734,237567.9121020616,110869.49766029435
135000,60.0,10,76.79892632883771,0.49249081790130345,0.3960799328202558,123.44026656443508,50.173423653601276,223242.34379121536,208179.61269032644
115000,60.0,20,71.38530653900389,0.5104533710451045,0.48218584845006124,113.95832110241746,48.02519912600982,193720.27109015934,253436.8819453522
100000,135.0,16,70.2020807093909,0.6795517063637707,0.36092333775071905,118.83053685888005,66.73433003969586,168459.3555506628,426827.9392240004
80000,35.0,16,80.36646773129989,0.3124164230821533,0.4531430110856225,122.84310240507888,31.733387744023247,134743.1394211144,138933.64719885186
230000,55.0,6,122.43787312985172,0.45934036236727716,0.23829204388741976,197.29893663161772,74.59365251540778,287573.05068877595,114809.10674495884
140000,125.0,14,74.11243641384323,0.7196154885492873,0.3664220986155415,122.20782199068442,72.59936839450884,229150.96998515766,401232.1979840179
180000,60.0,18,85.34690887929916,0.5764848293290485,0.4613794979796502,133.08407208699077,63.2192268145403,262499.6463541424,242501.06413810415
60000,25.0,6,108.34971955795757,0.18072259202423874,0.28876100848649117,158.96369594263027,23.790094428230077,95074.32975469157,63238.66085854156
110000,135.0,20,72.25808228869143,0.6952973537361714,0.358402708783019,122.03616723610364,70.09242380065501,185233.43846608786,423847.0434067983
240000,25.0,20,162.9908680053774,0.32406598207574044,0.2798133788931173,260.0794150152081,69.29268073885113,222602.67032075595,61279.12997759269
140000,35.0,10,88.36442201009115,0.37415224492267674,0.4033460788344093,138.80307661257896,42.83599214607227,204091.45878163495,123665.9077706299
80000,85.0,12,61.7873808960395,0.564438951609844,0.48308539106783366,104.63778704721652,48.832165894194645,134743.1394211144,359705.38218910893
195000,125.0,14,85.83999810939667,0.755857826951825,0.3571453346049638,139.76788077622234,87.09839453033321,271057.31501736335,391074.14139243535
235000,60.0,4,138.55902088618896,0.4234222743275541,0.1852466727224428,222.60080435204807,77.57998324920747,273552.2611280214,97365.65118291594
250000,30.0,14,153.18343531310185,0.36945616992175273,0.27613910069261005,245.16210475992176,74.46988000608414,251074.24918943745,72569.35566201792
180000,60.0,10,89.68822420449553,0.5190053890248978,0.3655804308060656,143.9612344020986,61.57758884099162,262499.6463541424,192149.0744316681
145000,120.0,12,74.51424857958997,0.7136521554606715,0.3716138846481019,122.69368674881923,72.27375932169056,234518.77264146353,390640.5155420847
70000,70.0,10,63.54514843007141,0.46974425626975524,0.4786989748459666,106.5348664080481,41.40040044894658,117957.75711675889,293538.2113755467
235000,60.0,6,123.12648470055431,0.47227864281855675,0.23622879832278204,200.87446400904204,78.08336222384347,289554.2347106015,124161.85639845424
145000,65.0,8,81.26290518152356,0.4860616930813505,0.33591722953600206,134.43195006142534,53.91496873293402,234518.77264146353,191271.27049779956
100000,80.0,18,64.92009801026899,0.584299622833985,0.4899930280421062,107.89751300847698,52.07911901332353,168459.3555506628,343387.114051908
50000,125.0,12,62.828467394695075,0.6139940061782035,0.41426749320982886,109.34319946505208,55.557511518638435,84235.8443473437,453622.9050647626
115000,130.0,14,70.99212146233373,0.6948023991160354,0.3643542593392059,118.56004853064864,68.05228925854453,193720.27109015934,414926.63053548767
140000,25.0,6,120.18748370236084,0.25944305682066177,0.24689157560444042,181.25416966306673,38.77629782142086,173202.86271752726,54069.25505737245
140000,35.0,16,87.93318776572534,0.38428225716449027,0.42018185123080903,137.72058323223115,43.646939648510994,207803.50168872744,128827.75558736605
155000,130.0,12,77.95753403001144,0.723780612459345,0.3424911733243874,127.76574990032368,76.3236336332042,244002.86833257388,390028.94818181236
105000,135.0,20,71.5647158778332,0.6891358171298679,0.3610218397347144,121.28642023126261,69.05335631006152,176738.54813549112,426944.42767027323
80000,95.0,14,60.693368952353445,0.6206968082328848,0.4914530937165257,103.62656468956223,53.169874876714196,134743.1394211144,408987.26459089265
130000,90.0,14,68.53423659876442,0.654884391016106,0.45268882198449584,112.79231551110156,60.97291136249856,216778.85927753238,356899.8672525765
90000,140.0,14,69.52951212762527,0.6632978788863318,0.3502654962764924,118.32220644359307,64.88855221463527,151483.33727093643,429565.60463349026
105000,135.0,16,70.70880035450024,0.6856243922724099,0.3584207842847454,119.25592139155518,67.56426393247766,176738.54813549112,423868.4194951399
210000,90.0,8,97.00055270593941,0.5832264358812851,0.2944823255082471,167.4776346104535,80.47595274876788,278736.49240130367,232169.86543070202
145000,60.0,10,79.56059560768018,0.4995538432599376,0.3863972489616474,127.80344704273374,52.67279335513153,234518.77264146353,203090.3940542419
245000,40.0,10,126.94827596780867,0.4499605703384611,0.3639883601119685,204.08060796258923,75.52889213459181,266623.93823325814,127541.52138323376
240000,35.0,10,133.30202454513451,0.40702284421642354,0.2944815101762226,214.74750919086026,71.89109124046271,266263.98051355715,90288.03102002984
65000,125.0,8,66.02122736615897,0.57992604925275,0.3639554700427143,116.78199307622697,56.039816365103135,109483.97944863692,398531.2396967721
90000,80.0,14,63.05992924675141,0.5663150033461906,0.491736024058685,105.01854451238519,49.154334264983895,151483.33727093643,344608.60566032643
175000,125.0,14,81.2834419336627,0.7444924388340779,0.3587393247991684,132.87116065803284,81.59178673110249,259355.81576356274,392819.56065508944
105000,125.0,14,68.50880614478967,0.6848206274035007,0.3864514351323977,115.00736327608145,65.0777432865426,176738.54813549112,423164.3214699755
125000,135.0,14,73.32110276980383,0.7047819476810786,0.3447687377155629,121.86537341291158,70.9418649071216,209665.47694620016,407723.50922242465
